Serial,date,time of year,Year,Hour,Day off,Weekday,Workingday,Weather,Temp,Feel_Temp, Humidity,Fog Density,Foreigners,Local,Total Visitors
25,03-01-2011,1,0,10,0,1,1,1,0.18,0.1667,0.806543633,0.43,11,33,44
26,03-01-2011,1,0,11,0,1,1,1,0.2,0.1818,0.831921144,0.4,10,41,51
27,03-01-2011,1,0,12,0,1,1,1,0.22,0.2121,0.813313935,0.35,13,48,61
28,03-01-2011,1,0,13,0,1,1,1,0.24,0.2121,0.741924224,0.35,8,53,61
29,03-01-2011,1,0,14,0,1,1,1,0.26,0.2424,0.690484447,0.3,11,66,77
30,03-01-2011,1,0,20,0,1,1,1,0.2,0.2273,0.66574436,0.47,3,49,52
31,03-01-2011,1,0,21,0,1,1,1,0.18,0.197,0.64376361,0.64,3,49,52
32,03-01-2011,1,0,22,0,1,1,1,0.14,0.1515,0.63076606,0.69,0,20,20
33,03-01-2011,1,0,23,0,1,1,1,0.18,0.2121,0.627597369,0.55,1,11,12
34,04-01-2011,1,0,1,0,2,1,1,0.16,0.1818,0.626107528,0.59,0,2,2
35,04-01-2011,1,0,6,0,2,1,1,0.12,0.1515,0.624753632,0.74,0,36,36
36,04-01-2011,1,0,7,0,2,1,1,0.12,0.1515,0.623282321,0.74,2,92,94
37,04-01-2011,1,0,8,0,2,1,1,0.14,0.1515,0.623427539,0.69,2,177,179
38,04-01-2011,1,0,9,0,2,1,1,0.16,0.1515,0.631628114,0.64,2,98,100
39,04-01-2011,1,0,10,0,2,1,2,0.16,0.1364,0.649933139,0.69,5,37,42
40,04-01-2011,1,0,12,0,2,1,1,0.22,0.2273,0.656065119,0.51,12,66,78
41,04-01-2011,1,0,14,0,2,1,1,0.26,0.2576,0.631950131,0.52,9,54,63
42,04-01-2011,1,0,15,0,2,1,1,0.28,0.2727,0.624304294,0.52,17,48,65
43,04-01-2011,1,0,16,0,2,1,1,0.3,0.2879,0.619532323,0.49,15,68,83
44,04-01-2011,1,0,17,0,2,1,1,0.28,0.2727,0.62616474,0.48,10,202,212
45,04-01-2011,1,0,23,0,2,1,1,0.2,0.2273,0.656030612,0.69,2,9,11
46,05-01-2011,1,0,0,0,3,1,1,0.2,0.2576,0.66096114,0.64,0,6,6
47,05-01-2011,1,0,1,0,3,1,1,0.16,0.197,0.665728525,0.74,0,6,6
48,05-01-2011,1,0,2,0,3,1,1,0.16,0.197,0.654908514,0.74,0,2,2
49,05-01-2011,1,0,6,0,3,1,1,0.2,0.197,0.676626508,0.47,0,33,33
50,05-01-2011,1,0,8,0,3,1,1,0.2,0.1818,0.70844976,0.4,3,192,195
51,05-01-2011,1,0,9,0,3,1,1,0.22,0.197,0.747803219,0.37,6,109,115
52,05-01-2011,1,0,10,0,3,1,1,0.22,0.197,0.753620223,0.37,4,53,57
53,05-01-2011,1,0,13,0,3,1,1,0.28,0.2576,0.773980003,0.3,6,65,71
54,05-01-2011,1,0,14,0,3,1,1,0.3,0.2879,0.777073943,0.28,10,52,62
55,05-01-2011,1,0,15,0,3,1,1,0.3,0.2879,0.759746528,0.28,7,55,62
56,05-01-2011,1,0,16,0,3,1,1,0.3,0.3182,0.742276413,0.28,4,85,89
57,05-01-2011,1,0,18,0,3,1,1,0.24,0.2424,0.725615371,0.38,3,166,169
58,05-01-2011,1,0,19,0,3,1,1,0.24,0.2576,0.717312115,0.38,5,127,132
59,05-01-2011,1,0,21,0,3,1,1,0.2,0.197,0.715778469,0.51,3,40,43
60,05-01-2011,1,0,22,0,3,1,1,0.18,0.197,0.69815462,0.55,1,41,42
61,05-01-2011,1,0,23,0,3,1,1,0.2,0.2576,0.688672147,0.47,1,18,19
62,06-01-2011,1,0,1,0,4,1,1,0.16,0.2273,0.693198559,0.64,0,4,4
63,06-01-2011,1,0,2,0,4,1,1,0.16,0.2273,0.69447548,0.64,0,2,2
64,06-01-2011,1,0,4,0,4,1,2,0.16,0.197,0.712366561,0.64,0,1,1
65,06-01-2011,1,0,5,0,4,1,2,0.14,0.1818,0.733458385,0.69,0,4,4
66,06-01-2011,1,0,6,0,4,1,2,0.14,0.1667,0.745093758,0.63,0,36,36
67,06-01-2011,1,0,7,0,4,1,2,0.16,0.2273,0.70896357,0.59,0,95,95
68,06-01-2011,1,0,8,0,4,1,1,0.16,0.2273,0.695008105,0.59,3,216,219
69,06-01-2011,1,0,10,0,4,1,1,0.2,0.2576,0.712673874,0.47,3,42,45
70,06-01-2011,1,0,11,0,4,1,1,0.22,0.2576,0.704207021,0.44,2,57,59
71,06-01-2011,1,0,13,0,4,1,1,0.26,0.2727,0.701203251,0.35,12,55,67
72,06-01-2011,1,0,15,0,4,1,1,0.28,0.2727,0.711736404,0.36,8,54,62
73,06-01-2011,1,0,16,0,4,1,1,0.26,0.2576,0.745131494,0.38,12,74,86
74,06-01-2011,1,0,19,0,4,1,1,0.22,0.2576,0.756914328,0.55,3,109,112
75,06-01-2011,1,0,21,0,4,1,2,0.22,0.2121,0.778640655,0.55,0,48,48
76,06-01-2011,1,0,23,0,4,1,2,0.2,0.197,0.809124429,0.59,4,19,23
77,07-01-2011,1,0,0,0,5,1,2,0.2,0.197,0.805969414,0.64,4,13,17
78,07-01-2011,1,0,1,0,5,1,2,0.2,0.197,0.819336124,0.69,2,5,7
79,07-01-2011,1,0,5,0,5,1,3,0.22,0.2727,0.84977172,0.55,0,5,5
80,07-01-2011,1,0,6,0,5,1,2,0.2,0.2576,0.853623133,0.69,8,26,34
81,07-01-2011,1,0,8,0,5,1,1,0.2,0.197,0.853740074,0.51,20,190,210
82,07-01-2011,1,0,9,0,5,1,1,0.2,0.1818,0.867449232,0.47,9,125,134
83,07-01-2011,1,0,10,0,5,1,1,0.22,0.197,0.860316213,0.37,16,47,63
84,07-01-2011,1,0,12,0,5,1,2,0.2,0.197,0.853275383,0.37,9,50,59
85,07-01-2011,1,0,14,0,5,1,2,0.2,0.197,0.847263626,0.4,7,43,50
86,07-01-2011,1,0,15,0,5,1,2,0.2,0.2121,0.85299873,0.37,9,63,72
87,07-01-2011,1,0,18,0,5,1,1,0.2,0.2273,0.853038223,0.4,7,116,123
88,07-01-2011,1,0,19,0,5,1,1,0.16,0.197,0.862715127,0.55,3,92,95
89,07-01-2011,1,0,20,0,5,1,1,0.18,0.2121,0.872781622,0.47,1,50,51
90,07-01-2011,1,0,21,0,5,1,1,0.18,0.197,0.878931094,0.47,0,39,39
91,07-01-2011,1,0,22,0,5,1,2,0.18,0.197,0.847404802,0.43,2,34,36
92,08-01-2011,1,0,1,0,6,0,2,0.18,0.2121,0.781195717,0.55,1,15,16
93,08-01-2011,1,0,4,0,6,0,3,0.18,0.197,0.761591877,0.55,0,1,1
94,08-01-2011,1,0,5,0,6,0,2,0.16,0.1667,0.752458955,0.74,0,5,5
95,08-01-2011,1,0,7,0,6,0,2,0.16,0.1818,0.751627324,0.74,1,8,9
96,08-01-2011,1,0,8,0,6,0,3,0.16,0.1818,0.769615492,0.93,0,15,15
97,08-01-2011,1,0,12,0,6,0,2,0.2,0.1818,0.830706132,0.59,8,90,98
98,08-01-2011,1,0,13,0,6,0,1,0.2,0.1818,0.873195771,0.44,7,95,102
99,08-01-2011,1,0,14,0,6,0,1,0.2,0.1667,0.920953536,0.32,12,83,95
100,08-01-2011,1,0,16,0,6,0,1,0.18,0.1364,0.931990047,0.29,8,68,76
101,08-01-2011,1,0,17,0,6,0,1,0.16,0.1212,0.934147213,0.37,5,64,69
102,08-01-2011,1,0,18,0,6,0,1,0.14,0.1212,0.931385622,0.39,3,52,55
103,08-01-2011,1,0,20,0,6,0,1,0.12,0.1212,0.916354325,0.36,0,28,28
104,08-01-2011,1,0,21,0,6,0,1,0.12,0.1061,0.909448937,0.39,2,35,37
105,08-01-2011,1,0,22,0,6,0,1,0.12,0.1061,0.936085703,0.36,1,33,34
106,08-01-2011,1,0,23,0,6,0,1,0.1,0.0606,0.923017422,0.39,0,22,22
107,09-01-2011,1,0,1,0,0,0,1,0.1,0.0606,0.935112287,0.42,0,12,12
108,09-01-2011,1,0,3,0,0,0,1,0.1,0.0758,0.937538177,0.46,0,4,4
109,09-01-2011,1,0,6,0,0,0,1,0.1,0.0909,0.947516224,0.49,0,1,1
110,09-01-2011,1,0,8,0,0,0,1,0.1,0.0909,0.940095096,0.49,0,10,10
111,09-01-2011,1,0,9,0,0,0,1,0.12,0.0758,0.916954694,0.46,0,19,19
112,09-01-2011,1,0,12,0,0,0,1,0.18,0.1364,0.907609536,0.37,4,79,83
113,09-01-2011,1,0,14,0,0,0,1,0.22,0.1818,0.899298171,0.32,8,64,72
114,09-01-2011,1,0,15,0,0,0,1,0.22,0.197,0.880059991,0.35,5,77,82
115,09-01-2011,1,0,16,0,0,0,1,0.2,0.1667,0.890368519,0.34,13,79,92
116,09-01-2011,1,0,19,0,0,0,1,0.16,0.1364,0.90959922,0.43,1,40,41
117,09-01-2011,1,0,21,0,0,0,1,0.14,0.1061,0.875658529,0.46,1,19,20
118,09-01-2011,1,0,22,0,0,0,1,0.14,0.1212,0.873591912,0.46,5,10,15
119,10-01-2011,1,0,0,0,1,1,1,0.12,0.1212,0.884761712,0.5,2,3,5
120,10-01-2011,1,0,1,0,1,1,1,0.12,0.1212,0.913735211,0.5,1,0,1
121,10-01-2011,1,0,2,0,1,1,1,0.12,0.1212,0.954699821,0.5,0,3,3
122,10-01-2011,1,0,4,0,1,1,1,0.1,0.1212,1.008631334,0.54,1,2,3
123,10-01-2011,1,0,13,0,1,1,2,0.2,0.1818,1.094518093,0.4,4,50,54
124,10-01-2011,1,0,14,0,1,1,2,0.2,0.197,1.078626891,0.4,0,47,47
125,10-01-2011,1,0,15,0,1,1,2,0.2,0.197,1.065371555,0.4,2,43,45
126,10-01-2011,1,0,16,0,1,1,1,0.2,0.2121,1.057955499,0.4,4,70,74
127,10-01-2011,1,0,18,0,1,1,1,0.2,0.197,1.049372403,0.4,1,154,155
128,10-01-2011,1,0,20,0,1,1,1,0.16,0.1667,1.014819466,0.5,1,73,74
129,10-01-2011,1,0,23,0,1,1,1,0.14,0.1515,0.987908111,0.59,0,18,18
130,11-01-2011,1,0,1,0,2,1,1,0.14,0.1515,0.963554996,0.59,0,3,3
131,11-01-2011,1,0,2,0,2,1,2,0.16,0.1515,0.945036195,0.55,0,3,3
132,11-01-2011,1,0,6,0,2,1,2,0.16,0.1818,0.928289804,0.55,0,27,27
133,11-01-2011,1,0,7,0,2,1,2,0.16,0.2273,0.908107123,0.55,2,97,99
134,11-01-2011,1,0,10,0,2,1,2,0.2,0.2121,0.87052295,0.51,3,51,54
135,11-01-2011,1,0,12,0,2,1,2,0.2,0.2273,0.871936588,0.51,2,55,57
136,11-01-2011,1,0,13,0,2,1,2,0.2,0.2273,0.874265047,0.59,6,46,52
137,11-01-2011,1,0,14,0,2,1,2,0.2,0.2273,0.867225463,0.59,3,60,63
138,11-01-2011,1,0,15,0,2,1,2,0.16,0.197,0.841671296,0.8,2,45,47
139,11-01-2011,1,0,16,0,2,1,2,0.16,0.1515,0.823069166,0.86,4,72,76
140,11-01-2011,1,0,18,0,2,1,3,0.16,0.1818,0.826380755,0.93,1,94,95
141,11-01-2011,1,0,19,0,2,1,3,0.16,0.2273,0.758936963,0.93,0,51,51
142,11-01-2011,1,0,20,0,2,1,3,0.16,0.1515,0.709361513,0.93,0,32,32
143,11-01-2011,1,0,21,0,2,1,3,0.16,0.197,0.701385739,0.86,0,20,20
144,12-01-2011,1,0,0,0,3,1,2,0.16,0.197,0.709825085,0.86,0,7,7
145,12-01-2011,1,0,1,0,3,1,2,0.16,0.1818,0.751891041,0.86,0,6,6
146,12-01-2011,1,0,8,0,3,1,1,0.16,0.1667,0.872993133,0.59,3,125,128
147,12-01-2011,1,0,10,0,3,1,1,0.18,0.1818,0.870389489,0.55,0,39,39
148,12-01-2011,1,0,14,0,3,1,1,0.2,0.1818,0.900730731,0.47,0,44,44
149,12-01-2011,1,0,16,0,3,1,1,0.22,0.197,0.934186045,0.44,5,63,68
150,12-01-2011,1,0,20,0,3,1,1,0.16,0.1364,0.922649926,0.5,2,54,56
151,12-01-2011,1,0,22,0,3,1,1,0.16,0.1212,0.92712823,0.55,1,32,33
152,12-01-2011,1,0,23,0,3,1,1,0.14,0.1061,0.90587528,0.59,1,19,20
153,13-01-2011,1,0,0,0,4,1,1,0.14,0.1212,0.890955806,0.59,1,6,7
154,13-01-2011,1,0,1,0,4,1,1,0.14,0.1212,0.866633008,0.5,0,2,2
155,13-01-2011,1,0,4,0,4,1,1,0.14,0.1212,0.844660353,0.5,0,4,4
156,13-01-2011,1,0,6,0,4,1,1,0.12,0.1515,0.802631932,0.54,0,28,28
157,13-01-2011,1,0,7,0,4,1,1,0.12,0.1515,0.797845704,0.54,0,72,72
158,13-01-2011,1,0,8,0,4,1,1,0.14,0.1364,0.795645557,0.5,5,197,202
159,13-01-2011,1,0,9,0,4,1,1,0.14,0.1212,0.795775687,0.5,2,137,139
160,13-01-2011,1,0,11,0,4,1,2,0.2,0.1667,0.801980417,0.44,4,33,37
161,13-01-2011,1,0,13,0,4,1,1,0.22,0.197,0.804829145,0.41,2,81,83
162,13-01-2011,1,0,14,0,4,1,1,0.22,0.197,0.826486216,0.41,3,39,42
163,13-01-2011,1,0,15,0,4,1,1,0.24,0.2121,0.84712769,0.38,5,55,60
164,13-01-2011,1,0,17,0,4,1,1,0.2,0.1818,0.825394883,0.4,4,158,162
165,13-01-2011,1,0,18,0,4,1,1,0.2,0.1818,0.850339343,0.4,3,141,144
166,13-01-2011,1,0,21,0,4,1,1,0.14,0.1212,0.650017745,0.46,0,40,40
167,13-01-2011,1,0,22,0,4,1,1,0.14,0.1212,0.630890454,0.46,0,30,30
168,13-01-2011,1,0,23,0,4,1,1,0.12,0.1364,0.570801909,0.5,1,14,15
169,14-01-2011,1,0,0,0,5,1,1,0.12,0.1364,0.523664583,0.5,0,14,14
170,14-01-2011,1,0,1,0,5,1,1,0.1,0.1212,0.74026061,0.54,0,5,5
171,14-01-2011,1,0,2,0,5,1,1,0.1,0.1212,0.913314177,0.54,0,1,1
172,14-01-2011,1,0,3,0,5,1,1,0.1,0.1364,0.929387704,0.54,0,1,1
173,14-01-2011,1,0,5,0,5,1,1,0.1,0.1364,0.85583071,0.54,0,8,8
174,14-01-2011,1,0,6,0,5,1,1,0.1,0.1818,0.920598758,0.54,0,17,17
175,14-01-2011,1,0,7,0,5,1,1,0.1,0.1212,0.902354487,0.74,0,70,70
176,14-01-2011,1,0,8,0,5,1,1,0.12,0.1667,0.897473061,0.68,2,156,158
177,14-01-2011,1,0,9,0,5,1,1,0.14,0.1515,0.868641877,0.69,0,117,117
178,14-01-2011,1,0,11,0,5,1,1,0.18,0.1667,0.850058903,0.51,6,47,53
179,14-01-2011,1,0,13,0,5,1,1,0.22,0.197,0.844196282,0.37,4,73,77
180,14-01-2011,1,0,15,0,5,1,1,0.24,0.2424,0.823302452,0.38,9,59,68
181,14-01-2011,1,0,18,0,5,1,1,0.2,0.2576,0.811276563,0.47,5,134,139
182,14-01-2011,1,0,19,0,5,1,1,0.16,0.197,0.806681846,0.59,3,89,92
183,14-01-2011,1,0,21,0,5,1,1,0.16,0.2273,0.811693424,0.69,4,48,52
184,14-01-2011,1,0,22,0,5,1,2,0.16,0.2273,0.818569924,0.69,2,34,36
185,14-01-2011,1,0,23,0,5,1,2,0.18,0.2424,0.820964333,0.55,1,26,27
186,15-01-2011,1,0,0,0,6,0,1,0.18,0.2424,0.83645626,0.55,3,25,28
187,15-01-2011,1,0,2,0,6,0,2,0.16,0.197,0.821851195,0.59,0,12,12
188,15-01-2011,1,0,3,0,6,0,2,0.16,0.2273,0.851493361,0.59,1,7,8
189,15-01-2011,1,0,4,0,6,0,2,0.16,0.2273,0.782925012,0.59,0,5,5
190,15-01-2011,1,0,5,0,6,0,1,0.16,0.2273,0.627469327,0.59,0,1,1
191,15-01-2011,1,0,6,0,6,0,1,0.14,0.1667,0.818014479,0.63,1,2,3
192,15-01-2011,1,0,7,0,6,0,1,0.14,0.2121,0.783192918,0.63,1,9,10
193,15-01-2011,1,0,8,0,6,0,1,0.14,0.1515,0.744593318,0.63,1,22,23
194,15-01-2011,1,0,10,0,6,0,1,0.18,0.197,0.752286519,0.59,2,57,59
195,15-01-2011,1,0,11,0,6,0,1,0.2,0.197,0.767639178,0.55,18,54,72
196,15-01-2011,1,0,12,0,6,0,1,0.24,0.2273,0.876780241,0.48,15,74,89
197,15-01-2011,1,0,14,0,6,0,1,0.3,0.2879,0.945557828,0.39,26,92,118
198,15-01-2011,1,0,15,0,6,0,2,0.32,0.3182,0.960555664,0.36,21,108,129
199,15-01-2011,1,0,20,0,6,0,2,0.32,0.303,0.97351894,0.39,6,35,41
200,15-01-2011,1,0,21,0,6,0,2,0.32,0.303,0.991470559,0.39,6,51,57
201,15-01-2011,1,0,23,0,6,0,1,0.3,0.2879,1.002870845,0.45,5,39,44
202,16-01-2011,1,0,0,0,0,0,1,0.26,0.303,0.976822235,0.56,6,33,39
203,16-01-2011,1,0,2,0,0,0,1,0.26,0.2879,0.966465601,0.56,3,13,16
204,16-01-2011,1,0,5,0,0,0,2,0.26,0.2576,0.96203688,0.56,1,1,2
205,16-01-2011,1,0,6,0,0,0,2,0.26,0.2576,0.948706111,0.56,0,1,1
206,16-01-2011,1,0,8,0,0,0,1,0.22,0.2121,0.933170176,0.55,0,18,18
207,16-01-2011,1,0,10,0,0,0,1,0.22,0.2121,0.920910529,0.51,8,71,79
208,16-01-2011,1,0,12,0,0,0,1,0.24,0.2121,0.912017783,0.41,29,75,104
209,16-01-2011,1,0,14,0,0,0,1,0.28,0.2727,0.903171037,0.36,22,69,91
210,16-01-2011,1,0,15,0,0,0,1,0.26,0.2424,0.891736016,0.38,35,78,113
211,16-01-2011,1,0,17,0,0,0,1,0.22,0.2121,0.874442496,0.37,23,82,105
212,16-01-2011,1,0,18,0,0,0,1,0.2,0.2121,0.865455121,0.4,11,56,67
213,16-01-2011,1,0,20,0,0,0,1,0.18,0.197,0.863995498,0.47,7,50,57
214,16-01-2011,1,0,21,0,0,0,1,0.18,0.197,0.879118203,0.51,6,22,28
215,16-01-2011,1,0,22,0,0,0,2,0.2,0.2121,0.909370967,0.49,2,19,21
216,16-01-2011,1,0,23,0,0,0,2,0.2,0.2273,0.914190929,0.4,0,18,18
217,17-01-2011,1,0,2,1,1,0,2,0.18,0.1667,0.898908858,0.43,0,8,8
218,17-01-2011,1,0,3,1,1,0,2,0.18,0.1818,0.88404696,0.43,0,2,2
219,17-01-2011,1,0,4,1,1,0,2,0.18,0.197,0.895625708,0.43,1,2,3
220,17-01-2011,1,0,5,1,1,0,2,0.18,0.197,0.911744585,0.43,0,1,1
221,17-01-2011,1,0,7,1,1,0,2,0.16,0.1818,0.957347051,0.5,4,9,13
222,17-01-2011,1,0,8,1,1,0,2,0.16,0.1515,0.938021892,0.47,3,30,33
223,17-01-2011,1,0,10,1,1,0,2,0.16,0.1515,0.908543705,0.5,7,50,57
224,17-01-2011,1,0,14,1,1,0,2,0.18,0.2121,0.884206819,0.43,12,74,86
225,17-01-2011,1,0,15,1,1,0,2,0.2,0.2121,0.876487638,0.47,21,72,93
226,17-01-2011,1,0,16,1,1,0,2,0.2,0.2121,0.866620379,0.47,6,76,82
227,17-01-2011,1,0,21,1,1,0,3,0.16,0.1515,0.857388288,0.8,3,24,27
228,17-01-2011,1,0,23,1,1,0,3,0.16,0.1364,0.856018865,0.86,1,3,4
229,18-01-2011,1,0,12,0,2,1,2,0.2,0.1818,0.912884475,0.86,0,3,3
230,18-01-2011,1,0,14,0,2,1,2,0.22,0.2273,0.896023685,0.8,2,26,28
231,18-01-2011,1,0,16,0,2,1,2,0.22,0.2273,0.908269844,0.87,0,61,61
232,18-01-2011,1,0,17,0,2,1,2,0.22,0.2273,0.876531145,0.82,1,124,125
233,18-01-2011,1,0,21,0,2,1,2,0.22,0.2424,0.888137772,0.93,0,41,41
234,18-01-2011,1,0,22,0,2,1,2,0.22,0.2576,0.904642892,0.93,0,33,33
235,19-01-2011,1,0,0,0,3,1,2,0.22,0.2727,0.915812654,0.93,0,3,3
236,19-01-2011,1,0,1,0,3,1,3,0.22,0.2273,0.928079286,0.93,1,6,7
237,19-01-2011,1,0,2,0,3,1,3,0.22,0.2273,0.937023478,0.93,0,3,3
238,19-01-2011,1,0,4,0,3,1,3,0.22,0.2273,0.947579638,0.93,1,1,2
239,19-01-2011,1,0,5,0,3,1,2,0.22,0.2576,0.949261728,0.93,0,7,7
240,19-01-2011,1,0,6,0,3,1,2,0.22,0.2576,0.955567614,0.93,0,32,32
241,19-01-2011,1,0,7,0,3,1,2,0.24,0.2576,0.974415794,0.92,1,89,90
242,19-01-2011,1,0,9,0,3,1,2,0.24,0.2576,1.015916021,0.93,2,107,109
243,19-01-2011,1,0,10,0,3,1,2,0.26,0.2727,0.99141492,0.93,1,46,47
244,19-01-2011,1,0,11,0,3,1,2,0.28,0.303,0.99635055,0.87,5,47,52
245,19-01-2011,1,0,13,0,3,1,1,0.4,0.4091,1.013229741,0.62,11,67,78
246,19-01-2011,1,0,14,0,3,1,1,0.4,0.4091,1.035643696,0.58,7,68,75
247,19-01-2011,1,0,15,0,3,1,1,0.4,0.4091,1.039552414,0.54,4,78,82
248,19-01-2011,1,0,16,0,3,1,1,0.38,0.3939,1.039813497,0.58,10,94,104
249,19-01-2011,1,0,17,0,3,1,1,0.36,0.3333,0.995073867,0.57,7,190,197
250,19-01-2011,1,0,18,0,3,1,1,0.34,0.3182,0.994123411,0.61,5,156,161
251,19-01-2011,1,0,19,0,3,1,1,0.32,0.2879,1.002128859,0.57,4,108,112
252,19-01-2011,1,0,20,0,3,1,1,0.32,0.303,1.019649369,0.49,2,74,76
253,19-01-2011,1,0,21,0,3,1,1,0.32,0.2879,1.031616683,0.49,4,55,59
254,19-01-2011,1,0,22,0,3,1,1,0.3,0.303,1.062981061,0.52,6,53,59
255,19-01-2011,1,0,23,0,3,1,1,0.3,0.2727,1.07041104,0.52,1,27,28
256,20-01-2011,1,0,0,0,4,1,1,0.26,0.2273,1.072957956,0.56,5,8,13
257,20-01-2011,1,0,2,0,4,1,1,0.26,0.2727,1.086838365,0.56,0,2,2
258,20-01-2011,1,0,3,0,4,1,1,0.26,0.2576,1.069972729,0.56,0,1,1
259,20-01-2011,1,0,4,0,4,1,1,0.26,0.2576,1.024916621,0.56,0,1,1
260,20-01-2011,1,0,5,0,4,1,1,0.24,0.2273,1.009132844,0.6,0,6,6
261,20-01-2011,1,0,6,0,4,1,1,0.22,0.2121,1.012596863,0.6,0,35,35
262,20-01-2011,1,0,8,0,4,1,1,0.22,0.2121,0.979146957,0.55,2,247,249
263,20-01-2011,1,0,9,0,4,1,2,0.24,0.2273,0.894213941,0.52,3,140,143
264,20-01-2011,1,0,11,0,4,1,2,0.28,0.2727,0.92060895,0.45,5,63,68
265,20-01-2011,1,0,12,0,4,1,2,0.3,0.3333,0.92515101,0.42,7,77,84
266,20-01-2011,1,0,13,0,4,1,2,0.28,0.2879,0.968889456,0.45,12,86,98
267,20-01-2011,1,0,15,0,4,1,2,0.32,0.3182,0.952044499,0.45,8,62,70
268,20-01-2011,1,0,16,0,4,1,2,0.3,0.303,0.968767965,0.49,8,83,91
269,20-01-2011,1,0,19,0,4,1,1,0.26,0.2273,0.991390723,0.56,6,146,152
270,20-01-2011,1,0,20,0,4,1,2,0.26,0.2424,1.019777143,0.6,2,124,126
271,20-01-2011,1,0,22,0,4,1,2,0.24,0.2121,1.091937922,0.65,0,56,56
272,21-01-2011,1,0,1,0,5,1,2,0.24,0.2273,1.080477313,0.7,0,6,6
273,21-01-2011,1,0,4,0,5,1,2,0.22,0.2576,1.04907535,0.87,0,1,1
274,21-01-2011,1,0,5,0,5,1,1,0.24,0.197,1.030856269,0.6,1,4,5
275,21-01-2011,1,0,6,0,5,1,1,0.22,0.2121,1.015304131,0.55,0,27,27
276,21-01-2011,1,0,7,0,5,1,1,0.2,0.1818,1.004939362,0.51,2,66,68
277,21-01-2011,1,0,8,0,5,1,1,0.2,0.1818,0.997854689,0.47,7,210,217
278,21-01-2011,1,0,9,0,5,1,1,0.2,0.1818,1.019486173,0.51,7,159,166
279,21-01-2011,1,0,10,0,5,1,1,0.2,0.1667,0.957133027,0.47,6,57,63
280,21-01-2011,1,0,11,0,5,1,1,0.22,0.1818,0.828074791,0.41,6,53,59
281,21-01-2011,1,0,14,0,5,1,1,0.2,0.1515,0.779314999,0.25,6,56,62
282,21-01-2011,1,0,15,0,5,1,1,0.16,0.1212,0.776380675,0.26,4,61,65
283,21-01-2011,1,0,19,0,5,1,1,0.12,0.1061,0.72625099,0.3,3,93,96
284,21-01-2011,1,0,20,0,5,1,1,0.1,0.0758,0.706678839,0.33,1,52,53
285,21-01-2011,1,0,21,0,5,1,1,0.08,0.0758,0.653860335,0.38,0,41,41
286,21-01-2011,1,0,22,0,5,1,1,0.06,0.0303,0.668101901,0.41,1,33,34
287,21-01-2011,1,0,23,0,5,1,1,0.06,0.0455,0.60597224,0.38,0,27,27
288,22-01-2011,1,0,0,0,6,0,1,0.04,0.0303,0.668178382,0.45,0,13,13
289,22-01-2011,1,0,1,0,6,0,2,0.04,0,0.826398721,0.41,3,9,12
